ship_type,Total_Viajes,Duracion_Promedio
berg. am.,83,13.91
berg. esp.,80,43.6
frag. am.,57,21.98
frag. esp.,47,46.61
vapor am.,40,4.9
berg. ing.,37,25.11
frag. ing.,34,43.56
"berg, am.",28,14.22
"berg, esp.",28,27.82
pol. esp.,24,48.29
vapor amer.,23,5.65
gol. am.,21,10.71
"frag, esp.",21,48.43
"frag, am.",18,16.89
berg. cap.,18,40.33
berg. amer.,18,13.67
gol. ing.,18,17.5
vapor ing.,17,4.71
vap. am.,16,4.12
frag. cap.,15,45.07
pail. am.,13,12.92
frag. amer.,12,27.33
berg. eap.,11,41.27
gol. esp.,11,11.36
frag. franc.,11,48.27
frag am.,10,12.1
berg. exp.,10,46.6
berg am.,9,12.89
berg. am,8,14.0
vap. ing.,8,7.0
pail. ing.,8,9.5
berg esp.,7,30.43
"gol, am.",7,7.71
vapor esp.,7,7.57
berg.,7,17.0
"pail, am.",6,11.0
corb. ing.,6,19.0
frag. eap.,6,35.17
frag. belga,6,41.0
frag.,6,25.17
"vap, am.",5,3.2
"frag, ing.",5,34.4
berg amer.,5,37.25
frag. exp.,5,33.6
fraz. esp.,5,52.2
frag. am,5,17.8
"gol, esp.",5,30.0
corb. esp.,5,40.8
frag. esp,5,51.6
gol. cap.,5,34.6
frag esp.,5,65.2
berg ing.,5,56.8
pail. amer.,5,6.4
berg. an.,5,15.8
herg. am.,4,16.5
berg. nm.,4,9.0
berg eap.,4,33.0
"trag, am.",4,12.5
"pail, amer.",4,5.75
"berg, amer.",4,9.75
berg. sueco,4,28.75
herg. esp.,4,34.75
pol. cap.,4,62.25
vapor de,4,9.25
berg. dan.,4,42.25
berg. ain.,3,5.0
berg. min.,3,6.67
gol. esp,3,5.67
gol. amer.,3,11.67
berg. amor.,3,17.0
fraz. am.,3,30.0
"frag, amer.",3,33.0
borg. esp.,3,49.67
berz. esp.,3,23.33
rap. am.,3,4.0
berz. am.,3,16.0
berg. erp.,3,42.33
berg. frane.,3,37.33
pail. an.,3,4.33
"pol, esp.",3,23.33
borg. am.,3,33.33
berg. de,3,11.0
frag. ep.,3,28.33
barca esp.,3,47.0
frag. frane.,3,49.67
bal. am.,3,1.33
frag. um.,3,13.33
berg esp,3,37.33
frag. sueca,3,42.67
beig. ing.,2,26.0
irag. am.,2,31.0
vapor am,2,4.5
berg. p.,2,16.0
borg. ing.,2,24.5
beig. esp.,2,47.0
berg. sardo,2,44.5
navio de,2,23.5
pol eap.,2,73.0
fag. esp.,2,36.0
frag esp,2,59.0
berg. ep.,2,21.0
frag. erp.,2,65.5
vapor amor.,2,5.5
berg. es.,2,15.0
frag erp,2,49.0
berg. esp,2,5.5
varor am.,2,6.0
borg. cap.,2,51.5
bea. ing.,2,57.5
berg. hol.,2,61.0
"fag, am.",2,6.0
pol. exp.,2,55.5
vapor cap.,2,5.5
dinsberg. p.,2,26.5
del,2,28.0
gol. min.,2,12.5
pal. esp.,2,57.0
barca am.,2,19.0
gol. nor.,2,72.5
"herg, esp.",2,22.5
"fing, amer.",2,20.5
trag. amer.,2,19.5
"fraz, esp.",2,55.5
frag. inglesa,2,36.0
frag. aust.,2,36.5
corb. cap.,2,64.5
vap. de,2,16.5
pail.am.,2,7.0
"frag, franc.",2,88.0
"berg, eap.",2,48.0
frag. noruega,2,52.5
vivero amer.,2,2.0
barg esp.,2,48.0
"berg, ing.",2,18.0
herg. franc.,2,18.0
gol. hol.,2,32.5
gol. exp.,2,33.5
frag. fran.,2,42.5
pail am.,2,11.5
gol esp,1,47.0
frag. prus.,1,45.0
gol eap.,1,33.0
"gol, ing",1,22.0
gol ing.,1,5.0
"gol, esp",1,40.0
gol esp.,1,7.0
frag. pris.,1,18.0
"gol, eap.",1,8.0
"gol, danera",1,52.0
"gol, amor.",1,10.0
"gol, amer.",1,17.0
frag. port.,1,1.0
gol. ame.,1,6.0
gol.,1,7.0
gol. .,1,4.0
gul erp.,1,1.0
goleta am.,1,20.0
goleta am,1,7.0
goleep.,1,35.0
gol..am.,1,13.0
gol. um,1,11.0
gol. noruega,1,63.0
frag. nn.,1,17.0
frag. nor.,1,92.0
gol. mex.,1,21.0
gol. m.,1,15.0
gol. in.,1,14.0
frag. nrug.,1,1.0
frag. numer.,1,14.0
gol. ep.,1,4.0
gol. em.,1,4.0
gol. dan.,1,67.0
frag. osp.,1,62.0
gol. ap.,1,11.0
gol. ant.,1,6.0
gol. an.,1,12.0
gol. amr,1,7.0
frag. p.,1,42.0
frag. peruana,1,8.0
"goi, umer.",1,30.0
gol. ainer.,1,6.0
gol. ain.,1,12.0
goi. hol.,1,65.0
fran. dau.,1,45.0
frag. sin.,1,14.0
frag.ing.,1,21.0
fragata esp.,1,32.0
fragata amer.,1,42.0
fraz. e.,1,40.0
frag.sueca,1,70.0
fraz. eo.,1,47.0
fraz. esp,1,96.0
fraz. ing.,1,18.0
gul. a.,1,5.0
frag.esp.,1,49.0
fraz. peruana,1,109.0
frag.esp,1,2.0
"free, am.",1,12.0
freg. am,1,13.0
frag. umer.,1,21.0
fraz. a.,1,15.0
fragata fran,1,79.0
fragata ing.,1,55.0
"fraz, ing.",1,7.0
fragata portuz.,1,108.0
fragiam.,1,10.0
"fragu,",1,16.0
"fraz, at.",1,17.0
fraz esp.,1,40.0
frax. frate,1,14.0
frax. brem.,1,65.0
frax. am.,1,25.0
frax am.,1,42.0
"frat, am.",1,15.0
"frase, ainer.",1,16.0
fras. cap.,1,47.0
frar. lug.,1,91.0
freg. esp.,1,5.0
freg. franc.,1,65.0
"goi, esp.",1,4.0
gel. am.,1,20.0
fug ing,1,50.0
gal.,1,9.0
gal. ing.,1,16.0
frar. esp.,1,66.0
gel erp,1,40.0
"gel, amerie.",1,12.0
gel. amer.,1,1.0
freg. sp.,1,30.0
gel. hol.,1,51.0
gl. dan.,1,73.0
glier.,1,264.0
go'. m.,1,9.0
go.nin.,1,3.0
frag. smer.,1,7.0
frug. p.,1,55.0
frug. nm.,1,14.0
frug. ing.,1,47.0
frug. amer.,1,13.0
"frug, umer.",1,14.0
frag. sp.,1,13.0
frag. speca,1,35.0
frag. st.,1,48.0
frug franc.,1,65.0
frng. caitena,1,74.0
frig. esp.,1,42.0
frag. trane,1,4.0
frig. am.,1,15.0
frag. trane.,1,35.0
"frig, franc.",1,15.0
"frig, esp.",1,44.0
"frg, norueg",1,41.0
gei. rep.,1,9.0
1-erg.,1,57.0
gul. ain.,1,11.0
trag. esp.,1,32.0
trag. m.,1,27.0
trag. mer.,1,13.0
trag. n.,1,10.0
trag. sicuiana,1,32.0
trag.esp.,1,15.0
traz am.,1,19.0
traz. ing.,1,85.0
trg. nm.,1,11.0
vanor xin.,1,5.0
vao. am.,1,7.0
vap ing.,1,2.0
vap- esp.,1,6.0
vap. 1og,1,4.0
vap. amer.,1,23.0
vap. an.,1,2.0
vap. cap.,1,3.0
vap. ean.,1,6.0
trag. exp.,1,4.0
trag. esp,1,4.0
gul. am.,1,14.0
trag. dan.,1,51.0
rapor amer,1,7.0
"rel, am.",1,10.0
rip am.,1,3.0
"ruth, an",1,27.0
sag. am.,1,15.0
sherg. esp.,1,49.0
spil. m.,1,12.0
"tagamer,",1,12.0
tail. amer.,1,1.0
teng. n.,1,3.0
terg. cap,1,6.0
terg. esp,1,51.0
terg. p.,1,52.0
tergam.,1,10.0
"tong,",1,13.0
"trag, amer.",1,11.0
"trag, er.",1,24.0
vap. eep.,1,9.0
vap. esp.,1,5.0
vap. ing,1,5.0
vap. osp.,1,8.0
vapor sm.,1,10.0
vapor. amer.,1,3.0
vaporam.,1,56.0
vaporcorren espaol,1,20.0
vaporcorreo esp.,1,19.0
vaporing.,1,5.0
varier am.,1,7.0
"vep, esp.",1,3.0
vipor am.,1,3.0
vipor um,1,7.0
viss,1,17.0
viv. am,1,24.0
vivero am.,1,1.0
vivero americano,1,1.0
vivero ar,1,9.0
"wasberg, raso",1,71.0
"x, amer.",1,
vapor og,1,5.0
vapor mejicano,1,7.0
vapor lug.,1,7.0
vapor amr.,1,17.0
vap. um.,1,3.0
vaper amor.,1,30.0
vaper ing.,1,8.0
vapor .,1,5.0
vapor ain.,1,6.0
vapor amer,1,6.0
vapor americano,1,5.0
vapor an.,1,1.0
vapor log.,1,4.0
vapor ato.,1,5.0
vapor aun.,1,3.0
vapor do,1,4.0
vapor esp,1,5.0
vapor ingid,1,8.0
vapor inp.,1,8.0
vapor it.,1,6.0
rap. am,1,21.0
"rap, am.",1,2.0
rap esp.,1,7.0
nol. esp.,1,65.0
ing. esp.,1,5.0
ing. trane,1,19.0
"insberg, am.",1,7.0
iraz. ing.,1,65.0
irg. n.,1,26.0
l-rg. esp.,1,43.0
leg. cep.,1,3.0
"lerg, esp.",1,57.0
lerg. nm.,1,19.0
lerg. sueco,1,3.0
frag. itum.,1,12.0
liasberg. esp.,1,50.0
"lierg, amer.",1,13.0
long. met.,1,4.0
luere esp.,1,34.0
"nail, amer.",1,22.0
nall. am.,1,4.0
ing. ainer.,1,26.0
in frag..,1,14.0
ifigsberg. amer.,1,22.0
herg. amer.,1,7.0
gul. nmer.,1,5.0
"hala, ain.",1,1.0
here. am.,1,1.0
here. eap.,1,45.0
here. hol.,1,40.0
herg cap.,1,46.0
"herg, amerie.",1,11.0
herg. danes,1,71.0
"iasgol, am",1,24.0
herg. enn.,1,78.0
herg. es.,1,1.0
herg. exp.,1,14.0
herg. mer.,1,21.0
"hers, amer.",1,17.0
"herz, aner.",1,7.0
horg. am.,1,11.0
"ne, mer.",1,20.0
oerg. franc.,1,18.0
queclic hol.,1,43.0
"ol, esp.",1,4.0
pall. ing.,1,44.0
piil. am.,1,20.0
pil. am.,1,6.0
pl. esp.,1,5.0
pol cap.,1,60.0
"pol, cap.",1,47.0
"pol, eap.",1,4.0
pol. osp.,1,48.0
pol. sp.,1,52.0
polag.,1,50.0
pop.,1,50.0
por sm.,1,4.0
pril. am.,1,13.0
psil. am.,1,13.0
pultep,1,5.0
queche bol.,1,52.0
queche esp.,1,9.0
pall. am.,1,6.0
"pall, amer.",1,7.0
pall amer.,1,1.0
pail. esp.,1,26.0
otrb. esp.,1,38.0
paif. amer.,1,1.0
"pail, ain.",1,
pail. ainer.,1,10.0
pail. amer,1,11.0
pail. amer..,1,6.0
pail. amner.,1,1.0
pail. lug.,1,10.0
pali. ing.,1,20.0
pail. m.,1,7.0
pail. no.,1,10.0
pail. un,1,9.0
pait. amer.,1,21.0
pait. nm.,1,1.0
pal cap.,1,60.0
pal esp.,1,17.0
frag. lug.,1,15.0
frag. belea,1,40.0
frag. italiana,1,4.0
berg. eg.,1,35.0
berg. eso,1,31.0
berg. exp,1,96.0
berg. finnc.,1,63.0
berg. franc.,1,3.0
berg. haunov.,1,61.0
berg. holand.,1,53.0
berg. in.,1,73.0
berg. irg.,1,16.0
berg. ital.,1,16.0
berg. italiano,1,71.0
berg. nor.,1,61.0
berg. oap.,1,58.0
berg. op.,1,62.0
berg. orp.,1,72.0
berg. osp.,1,30.0
berg. prusiano,1,73.0
berg. sep.,1,41.0
berg. erp,1,60.0
berg. eep.,1,133.0
berg. so,1,61.0
berg. eep,1,58.0
berg. americano,1,10.0
berg. amr.,1,1.0
berg. an,1,27.0
berg. aneco,1,18.0
berg. anier.,1,12.0
berg. ap.,1,44.0
berg. aust.,1,66.0
berg. austriaco,1,43.0
berg. av.,1,21.0
berg. balga,1,102.0
berg. belga,1,39.0
berg. brenAAos,1,73.0
berg. cep.,1,61.0
berg. cip.,1,60.0
berg. ean.,1,63.0
berg. eap,1,44.0
berg. eed.,1,31.0
berg. siner.,1,14.0
berg. sp.,1,47.0
borg. ep.,1,30.0
berx. esp.,1,6.0
"berz, amer.",1,33.0
"berz, esp.",1,13.0
berz. an.,1,18.0
berz. cap.,1,7.0
berz. ep.,1,31.0
bet esp.,1,52.0
bevy. ing.,1,1.0
bg. esp.,1,49.0
big am.,1,23.0
bil. conf.,1,6.0
bisa berging.,1,20.0
borg cp.,1,3.0
borg ing.,1,18.0
"borg, esp.",1,54.0
"borg, osp.",1,6.0
borg. ain,1,10.0
borg. amer.,1,17.0
"berz, am.",1,15.0
bert. am.,1,10.0
berg. st.,1,1.0
bers. hol.,1,51.0
berg. succo,1,33.0
berg. tsp,1,14.0
berg. uiner,1,2.0
berg. um.,1,1.0
"berg., esp.",1,45.0
berg.cap.,1,42.0
berg.esp,1,52.0
berg.esp.,1,2.0
berg.ing.,1,61.0
berga. esp.,1,42.0
"bergam, c.",1,22.0
bergan. tieneral,1,9.0
berging.,1,58.0
"berk, esp.",1,104.0
berk. am.,1,3.0
berkep.,1,21.0
berr. am.,1,1.0
berg. americ.,1,11.0
berg. ama.,1,8.0
berg. ainer.,1,2.0
barea pius.,1,63.0
barg. amer.,1,10.0
barg. cap.,1,64.0
barg. esp.,1,73.0
barg. ing.,1,55.0
barg. lng.,1,14.0
barges.,1,49.0
bark an,1,25.0
barz. am.,1,15.0
bea am.,1,11.0
bea. am.,1,25.0
bea. esp.,1,41.0
bea. inz.,1,12.0
beca. esp.,1,43.0
beg exp,1,7.0
beg. esp.,1,45.0
beig am.,1,15.0
beig. am.,1,1.0
barg. am.,1,14.0
barca osp.,1,7.0
berg. a10.,1,17.0
barca franc.,1,48.0
De,1,3.0
Ierg. am.,1,3.0
Ierg. esp.,1,31.0
Lere. am.,1,11.0
Teng. m.,1,12.0
ag. an..,1,14.0
ag. bremera,1,2.0
aise berg_nm,1,25.0
ap. am.,1,3.0
b.rg. am.,1,7.0
bal am.,1,1.0
bal amer.,1,1.0
bal. amer.,1,2.0
bal. conf.,1,7.0
bal. confed.,1,8.0
barca an,1,12.0
barca esp,1,47.0
ben. esp.,1,54.0
bera. esp.,1,31.0
bere ard,1,17.0
"bere, esp.",1,31.0
"berg, esp",1,29.0
"berg, hol",1,45.0
"berg, hol.",1,21.0
"berg, holandes",1,43.0
"berg, hot.",1,51.0
"berg, inz.",1,4.0
"berg, mej.",1,8.0
"berg, nap.",1,13.0
"berg, nm",1,15.0
"berg, nm.",1,17.0
"berg, nmer.",1,16.0
"berg, nor.",1,60.0
"berg, orp.",1,12.0
"berg, p.",1,52.0
"berg, sueco",1,53.0
"berg, wardo",1,3.0
berg. a.,1,9.0
"berg, erg.",1,64.0
"berg, cap",1,19.0
"berg, brem.",1,62.0
berg franc.,1,19.0
bere. am,1,7.0
bere. ing.,1,24.0
berg .,1,56.0
berg apa.,1,3.0
berg belga,1,45.0
berg cap.,1,20.0
berg eep,1,55.0
berg mer.,1,6.0
"berg, awer.",1,27.0
berg surco,1,51.0
"berg,",1,15.0
"berg, ain.",1,7.0
"berg, amar..",1,4.0
"berg, amer",1,17.0
"berg, an.",1,27.0
"berg, atu.",1,10.0
borg. an.,1,1.0
borg. esp,1,70.0
frag. ital.,1,5.0
frag francesa,1,53.0
frag ing,1,21.0
frag ing.,1,60.0
frag mer.,1,6.0
frag op,1,44.0
frag op.,1,42.0
"frag, am",1,17.0
"frag, ame.",1,12.0
"frag, americ.",1,29.0
"frag, austr.",1,5.0
"frag, eap.",1,46.0
"frag, eep.",1,49.0
"frag, emr.",1,46.0
"frag, erp.",1,48.0
"frag, fran.",1,60.0
"frag, hol.",1,44.0
"frag, irang",1,1.0
"frag, lug.",1,35.0
frag frauc.,1,48.0
frag cap.,1,45.0
"frag, nm.",1,16.0
frag an.,1,13.0
fing nm.,1,15.0
"fing, am.",1,25.0
"fing, dan.",1,1.0
"fing, nm.",1,23.0
fing. amer.,1,15.0
fing. ep.,1,51.0
fing. p,1,37.0
fmg. nu.,1,11.0
"fng, noruega",1,53.0
fog. amer.,1,9.0
fog. prue.,1,12.0
foramer.,1,24.0
"fra, sueca",1,71.0
fra. peruana,1,15.0
"frac, am.",1,10.0
frag,1,2.0
frag amer.,1,52.0
"frag, nin.",1,33.0
"frag, nor.",1,72.0
borg. espl.,1,7.0
frag. eap,1,3.0
frag. eep.,1,51.0
frag. eo.,1,33.0
frag. es.,1,62.0
frag. f.zor.,1,76.0
frag. fane.,1,85.0
frag. fiane.,1,21.0
frag. finne.,1,53.0
frag. franc,1,66.0
frag. frau.,1,15.0
frag. frrne.,1,1.0
frag. fug.,1,39.0
frag. hannov.,1,24.0
frag. hol.,1,112.0
frag. in.,1,51.0
frag. ing,1,125.0
frag. inglern,1,72.0
frag. irg.,1,1.0
frag. eep,1,75.0
frag. e.,1,49.0
"frag, portag.",1,97.0
frag. de,1,43.0
"frag, rusa",1,55.0
"frag, sneca",1,64.0
frag- lug.,1,44.0
frag. (rane.,1,10.0
frag. a.,1,17.0
frag. ain.,1,2.0
frag. am..,1,10.0
frag. amor.,1,15.0
frag. amr,1,15.0
frag. amr.,1,4.0
frag. balga,1,60.0
"1erg, esp.",1,50.0
frag. cep..,1,45.0
frag. chilena,1,6.0
frag. dan,1,47.0
frag. dan.,1,61.0
frag. dauesa,1,70.0
fing hol.,1,52.0
fine. esp,1,47.0
fiac. esp.,1,11.0
corb. bol.,1,52.0
corb. esp,1,36.0
corb. inz.,1,15.0
corbeta de,1,40.0
corbeta sueca,1,131.0
corh. esp.,1,43.0
d. esp.,1,1.0
dagat nm.,1,23.0
"dain,",1,19.0
das agar.,1,24.0
das berg.esp.,1,3.0
desberg ani.,1,15.0
diaa bea.,1,18.0
diafrag. am.,1,1.0
dias,1,56.0
"dias,berg esp.",1,21.0
diasberg at,1,24.0
diasberg esp.,1,51.0
corb. csp,1,35.0
"corb, am.",1,15.0
"fg, hamb.",1,12.0
corb osp.,1,17.0
borg. lax.,1,16.0
borg. noruego,1,70.0
borg. osp.,1,80.0
borg. sm.,1,29.0
borz. esp.,1,67.0
bra. am.,1,24.0
brg. esp.,1,41.0
brg.ain.,1,13.0
brz. g.,1,3.0
burg danes,1,50.0
bz. am.,1,17.0
carb. amor.,1,14.0
cias fragatur.,1,9.0
ciasberg amer.,1,21.0
col am.,1,14.0
col. esp,1,8.0
corb esp.,1,43.0
diasberg helva,1,65.0
diasberg. amer.,1,15.0
diasberg. ing.,1,6.0
"diasfag, ou",1,6.0
f.ag. am.,1,5.0
"faag, am.",1,21.0
fag paus.,1,12.0
"fag, dan.",1,25.0
fag. am.,1,11.0
fag. erp.,1,3.0
fag. ing.,1,25.0
fagam.,1,33.0
"fail, mexic.",1,20.0
"fan, n.",1,20.0
faz. ep.,1,43.0
fc-g.atter.,1,14.0
feng belga,1,43.0
"feng, aia.",1,12.0
"feng, am.",1,10.0
feng. amer.,1,57.0
feng. esp.,1,49.0
erg. sp.,1,11.0
e reuner,1,1.0
"dlantrag, am.",1,42.0
dina berg.,1,25.0
diasfrag. aust,1,60.0
diasfrag. ing.,1,72.0
"diasgol, am.",1,4.0
diaspol. aust,1,46.0
difeng cp.,1,3.0
din-berg. esp.,1,41.0
dina,1,25.0
dinsberg. a.,1,11.0
"dissap, am.",1,9.0
dinsberg. am,1,4.0
dinsberg. amer.,1,9.0
dinsberg. mecki.,1,66.0
dinsberg.esp.,1,11.0
dinsf again.,1,15.0
disberg an.,1,15.0
diseberg. am,1,23.0
yap. conf.,1,6.0
